song_id,title,artist,album,duration,popularity,release_date
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,94,2024-05-17
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,175,100,2024-04-12
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier,Unheard,251,86,2024-03-22
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,I Had Some Help,178,96,2024-05-10
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,228,95,2024-04-18
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,99,2024-04-26
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,228,89,2024-03-08
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),171,96,2024-04-12
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,Beautiful Things,180,94,2024-01-18
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,142,98,2024-03-19
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,274,98,2024-05-04
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,159,96,2022-09-16
4NJqhmkGN042BrvHoMKUrJ,Austin,Dasha,Austin,171,56,2023-11-17
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,218,90,2024-04-18
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210,92,2023-09-15
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,Saturn,186,93,2024-02-22
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218,91,2024-04-05
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,Belong Together,148,92,2024-02-16
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,182,92,2022-10-14
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,161,90,2024-04-05
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,greedy,131,93,2023-09-15
0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,233,87,2024-02-11
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,172,89,2024-05-10
2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,emails i can’t send fwd:,185,90,2023-03-17
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,Scared To Start,159,90,2024-01-12
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,194,84,2024-05-24
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,Water,200,89,2023-07-28
4pkb8SbRGeHAvdb87v9rpf,Miles On It,Marshmello,Miles On It,168,84,2024-05-03
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,d4vd,Feel It (From The Original Series “Invincible”),157,87,2024-03-28
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,303,95,2024-05-17
7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,"yes, and?",214,83,2024-01-12
3lMzT16MjAKKXF7pSZn13B,Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,124,90,2024-02-07
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),244,93,2023-06-23
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),140,85,2024-05-23
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,Lovin On Me,138,89,2023-11-10
5bi0gh89wRuH2OgjdAKFsb,Santa,Rvssian,Santa,193,92,2024-04-04
59xD5osEFsaNt5PXfIKUnX,Illusion,Dua Lipa,Illusion,188,84,2024-04-11
0LMwmV37RCmBO2so0szAFs,Whatever,Kygo,Whatever,178,88,2024-01-19
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,Whatever She Wants,161,88,2024-02-13
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,One of Wun,144,85,2024-05-10
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,149,88,2024-04-05
0ve0CavjqrUqVmZ605RhTV,Jump,Tyla,Jump,147,79,2024-03-20
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,227,90,2023-08-25
6dpLxbF7lfCAnC9QRTjNLK,Home,Good Neighbours,Home,157,87,2024-01-17
3QJsSWa0Xo8MfaRn1gr4Be,favorite,Isabel LaRosa,favorite,133,87,2024-03-29
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160,92,2024-03-25
6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,Olivia Rodrigo,GUTS (spilled),170,86,2024-03-22
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,american dream,270,90,2024-01-12
